log [cNMP] (M),ligand,signal,signal,signal
0.0005,Lig_A,89.44276227,93.47812001,91.93199227
0.000143,Lig_A,87.54377039,89.91751024,89.61915311
0.0000408,Lig_A,80.42255085,87.30639641,84.90631433
0.0000117,Lig_A,59.77101417,62.61950199,61.59755516
0.00000333,Lig_A,39.83159945,43.8669572,43.76740606
0.000000952,Lig_A,18.70531481,28.2002742,23.59909084
0.000000272,Lig_A,10.87197331,14.1952091,12.88528639
7.77E-08,Lig_A,5.174997678,6.836615571,6.749057335
2.22E-08,Lig_A,0.664891967,-0.759351942,0.53903106
1E-13,Lig_A,3.038631815,4.700249708,3.688417708
0.0005,Lig_B,24.23134409,24.23134409,24.23134409
0.0002,Lig_B,22.14122611,21.22679949,21.50888185
0.00008,Lig_B,18.87541676,18.61415202,18.82876825
0.000032,Lig_B,16.65466641,15.74023979,15.78777996
0.0000128,Lig_B,10.64557722,10.90684196,10.80516063
0.00000512,Lig_B,6.726606005,6.595973631,6.696211886
0.00000205,Lig_B,4.244590903,3.330164287,3.918417287
0.000000819,Lig_B,1.762575802,1.501311055,1.712203323
0.000000328,Lig_B,1.240046307,1.370678681,1.272682005
1E-13,Lig_B,1.109413933,0.848149186,0.998357067
0.0003,Lig_C,93.715494,102.0235835,95.07154681
0.00008,Lig_C,95.61448588,104.6346973,97.28229513
0.0000213,Lig_C,101.5488355,101.0740875,101.1020357
0.00000284,Lig_C,82.32154273,84.69528258,84.64522973
0.000000379,Lig_C,42.68008727,45.76594907,44.88345156
5.06E-08,Lig_C,3.988127754,6.836615571,4.447295858
6.74E-09,Lig_C,0.427517982,0.427517982,0.427517982
1.5E-09,Lig_C,1.139639937,1.139639937,1.139639937
3.33E-10,Lig_C,-3.133091789,3.513379784,-0.903486623
1E-13,Lig_C,-0.521977957,2.80125783,0.208185819
